NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,flag_year_typo,flag_retroactive,flag_valid,lead_days,lead_days_short,layoff_count,company_normalized,same_company_cluster,county_warn_count,wda_warn_count,notice_year,notice_quarter,notice_month,industry_score,industry_final,industry_source
2024-02-29,Denbury Inc,Collin,North Central Texas WDA,2024-04-30,2024-02-29,Plano,0,0,1,61,0,111,DENBURY,1,92,185,2024,2024Q1,2024-02,0,Unknown,unresolved
2024-02-27,Expedia Group Inc. (Austin),Travis,Capital Area WDA,2024-05-01,2024-02-27,Austin,0,0,1,64,0,64,EXPEDIA GROUP,1,169,166,2024,2024Q1,2024-02,6,Technology_IT,stage1
2024-02-26,Daifuku Services America Corp.,Dallas,Dallas County WDA,2024-04-22,2024-02-26,Carrollton,0,0,1,56,1,38,DAIFUKU SERVICES AMERICA,0,330,325,2024,2024Q1,2024-02,0,Unknown,unresolved
2024-02-26,Frontpoint LLC. (Primary Home Health Care),Tarrant,Tarrant County WDA,2024-03-11,2024-02-26,Arlington,0,0,1,14,1,53,FRONTPOINT,0,207,213,2024,2024Q1,2024-02,6,Healthcare,stage1
2024-02-23,Oldcastle Infrastructure,Tarrant,Tarrant County WDA,2024-04-22,2024-02-23,Kennedale,0,0,1,59,1,64,OLDCASTLE INFRASTRUCTURE,0,207,213,2024,2024Q1,2024-02,2,Construction_Real_Estate,stage1
2024-02-22,"Kasasa, LTD",Travis,Capital Area WDA,2024-02-21,2024-02-22,Austin,0,1,0,,,59,KASASA,0,169,166,2024,2024Q1,2024-02,0,Unknown,unresolved
2024-02-22,Rio Grande Valley Sugar Growers 2024,Cameron,Cameron County WDA,2024-04-29,2024-02-22,Santa Rosa,0,0,1,67,0,435,RIO GRANDE VALLEY SUGAR GROWERS 2024,0,37,38,2024,2024Q1,2024-02,0,Unknown,unresolved
2024-04-04,"Rooster Teeth Productions, LLC II",Travis,Capital Area WDA,2024-06-08,2024-04-04,Austin,0,0,1,65,0,6,ROOSTER TEETH PRODUCTIONS II,0,169,166,2024,2024Q2,2024-04,2,Energy,stage1
2024-04-03,"Nosco, Inc.",Dallas,Dallas County WDA,2024-06-02,2024-04-03,Carrollton,0,0,1,60,0,51,NOSCO,0,330,325,2024,2024Q2,2024-04,0,Unknown,unresolved
2024-03-28,Davies UC LLC,Travis,Capital Area WDA,2024-05-26,2024-03-28,Austin,0,0,1,59,1,3,DAVIES UC,0,169,166,2024,2024Q1,2024-03,0,Unknown,unresolved
2024-03-27,Kroger Fulfillment Network LLC-San Antonio,Bexar,Alamo WDA,2024-03-25,2024-03-27,San Antonio,0,1,0,,,73,KROGER FULFILLMENT NETWORK,1,200,238,2024,2024Q1,2024-03,6,Retail_Food,stage1
2024-03-26,Kroger Fulfillment Network LLC-Austin,Travis,Capital Area WDA,2024-05-25,2024-03-26,Austin,0,0,1,60,0,52,KROGER FULFILLMENT NETWORK,1,169,166,2024,2024Q1,2024-03,6,Retail_Food,stage1
2024-03-14,Signify North America Corporation - Genlyte Thomas LLC,Hays,Rural Capital WDA,2024-05-16,2024-03-14,San Marcos,0,0,1,63,0,109,SIGNIFY NORTH AMERICA CORPORATION - GENLYTE THOMAS,0,18,67,2024,2024Q1,2024-03,6,Manufacturing,stage1
2024-03-14,Stanley Black and Decker,Hidalgo,Lower Rio Grande Valley WDA,2024-05-10,2024-03-14,Mission,0,0,1,57,1,127,STANLEY BLACK AND DECKER,0,35,38,2024,2024Q1,2024-03,2,Manufacturing,stage1
2024-03-11,"Rooster Teeth Production, LLC",Travis,Rural Capital WDA,2024-05-11,2024-03-11,Austin,0,0,1,61,0,133,ROOSTER TEETH PRODUCTION,0,169,67,2024,2024Q1,2024-03,2,Energy,stage1
2024-03-08,"Tramontina USA, Inc.",Fort Bend,Gulf Coast WDA,2024-03-08,2024-03-08,Sugar Land,0,0,1,0,1,62,TRAMONTINA USA,1,88,608,2024,2024Q1,2024-03,6,Manufacturing,stage1
2024-03-06,Phoenix Assurance,Tarrant,Tarrant County WDA,2024-04-30,2024-03-06,Fort Worth,0,0,1,55,1,25,PHOENIX ASSURANCE,0,207,213,2024,2024Q1,2024-03,0,Unknown,unresolved
2024-03-06,Artic Slope Mission Services',El Paso,Borderplexjobs WDA,2024-03-06,2024-03-06,El Paso,0,0,1,0,1,70,ARTIC SLOPE MISSION SERVICES,0,49,51,2024,2024Q1,2024-03,2,Staffing_Services,stage1
2024-04-30,"Arnold Transportation Services, Inc",Dallas,Dallas County WDA,2024-04-30,2024-04-30,Grand Prairie,0,0,1,0,1,157,ARNOLD TRANSPORTATION SERVICES,0,330,325,2024,2024Q2,2024-04,4,Logistics_Transportation,stage1
2024-04-25,"Soil Organic, Inc.",Navarro,North Central Texas WDA,2024-09-13,2024-04-25,Rice,0,0,1,141,0,61,SOIL ORGANIC,0,2,185,2024,2024Q2,2024-04,2,Energy,stage1
2024-04-23,Tesla,Travis,Capital Area WDA,2024-04-19,2024-04-23,Austin,0,1,0,,,2688,TESLA,0,169,166,2024,2024Q2,2024-04,0,Unknown,unresolved
2024-04-23,Expedia Group Inc. (Austin),Travis,Capital Area WDA,2024-06-21,2024-04-23,Austin,0,0,1,59,1,84,EXPEDIA GROUP,1,169,166,2024,2024Q2,2024-04,6,Technology_IT,stage1
2024-04-17,Joyson Safety Systems,Bexar,Alamo WDA,2024-06-01,2024-04-17,San Antonio,0,0,1,45,1,108,JOYSON SAFETY SYSTEMS,0,200,238,2024,2024Q2,2024-04,2,Technology_IT,stage1
