NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,flag_year_typo,flag_retroactive,flag_valid,lead_days,lead_days_short,layoff_count,company_normalized,same_company_cluster,county_warn_count,wda_warn_count,notice_year,notice_quarter,notice_month,industry_score,industry_final,industry_source
2022-01-28,Amentum,Bowie,North East Texas WDA,2022-03-27,2022-01-28,New Boston,0,0,1,58,1,178,AMENTUM,1,9,21,2022,2022Q1,2022-01,0,Unknown,unresolved
2022-01-06,"Stearns Lending, LLC - Corporate Dr.",Denton,North Central Texas WDA,2022-03-13,2022-01-06,Lewisville,0,0,1,66,0,348,STEARNS LENDING,0,56,185,2022,2022Q1,2022-01,12,Finance,stage1
2021-12-16,"Monitronics International, Inc. dba Brinks Home",Dallas,Dallas County WDA,2021-12-17,2021-12-20,Dallas,0,0,1,1,1,42,MONITRONICS INTERNATIONAL BRINKS HOME,1,330,325,2021,2021Q4,2021-12,0,Unknown,unresolved
2021-12-13,Central Freight Lines - San Antonio,Bexar,Alamo WDA,2021-12-17,2021-12-16,San Antonio,0,0,1,4,1,66,CENTRAL FREIGHT LINES,1,200,238,2021,2021Q4,2021-12,12,Logistics_Transportation,stage1
2021-12-13,Central Freight Lines,McLennan,Heart of Texas WDA,2021-12-13,2021-12-16,Waco,0,0,1,0,1,153,CENTRAL FREIGHT LINES,1,24,34,2021,2021Q4,2021-12,12,Logistics_Transportation,stage1
2021-12-13,Central Freight Lines - Houston,Harris,Gulf Coast WDA,2021-12-13,2021-12-16,Houston,0,0,1,0,1,162,CENTRAL FREIGHT LINES,1,429,608,2021,2021Q4,2021-12,12,Logistics_Transportation,stage1
2021-12-13,"Central Freight Lines, Inc.",Tarrant,Tarrant County WDA,2021-12-13,2021-12-16,Ft. Worth,0,0,1,0,1,292,CENTRAL FREIGHT LINES,1,207,213,2021,2021Q4,2021-12,12,Logistics_Transportation,stage1
2021-12-06,"Change Healthcare Operations, LLC",Hunt,North Central WDA,2022-02-04,2021-12-06,Greenville,0,0,1,60,0,145,CHANGE HEALTHCARE OPERATIONS,0,4,1,2021,2021Q4,2021-12,4,Healthcare,stage1
2021-11-30,Laredo Transit Management-El Metro Transit,Webb,South Texas WDA,2022-01-31,2021-12-02,Laredo,0,0,1,62,0,168,LAREDO TRANSIT MANAGEMENT-EL METRO TRANSIT,0,17,17,2021,2021Q4,2021-11,2,Logistics_Transportation,stage1
2021-11-23,"Marshal S. Frumin, M.D.",Fort Bend,Gulf Coast WDA,2021-12-31,2021-12-02,Sugar Land,0,0,1,38,1,6,MARSHAL S FRUMIN M D,0,88,608,2021,2021Q4,2021-11,0,Unknown,unresolved
2021-11-13,Cypress Creek Emergency Medical Services,Montgomery,Gulf Coast WDA,2021-11-13,2021-11-23,Spring,0,0,1,0,1,102,CYPRESS CREEK EMERGENCY MEDICAL SERVICES,0,42,608,2021,2021Q4,2021-11,2,Healthcare,stage1
2021-11-04,Zillow Group,Dallas,Dallas County WDA,2022-01-03,2021-11-04,Coppell,0,0,1,60,0,32,ZILLOW GROUP,1,330,325,2021,2021Q4,2021-11,6,Technology_IT,stage1
2021-11-04,YMCA - Waco,McLennan,Heart of Texas WDA,2021-12-31,2021-11-04,Waco,0,0,1,57,1,127,YMCA,1,24,34,2021,2021Q4,2021-11,2,Public_Nonprofit,stage1
2021-10-29,"Odle Management Group, LLC",El Paso,Borderplexjobs WDA,2021-10-25,2021-10-29,El Paso,0,1,0,,,134,ODLE MANAGEMENT GROUP,0,49,51,2021,2021Q4,2021-10,0,Unknown,unresolved
2021-10-11,Luminant Mining Co.-Martin Lake Liberty Mine,Rusk,East Texas WDA,2021-12-26,2021-11-08,Tatum,0,0,1,76,0,160,LUMINANT MINING -MARTIN LAKE LIBERTY MINE,0,5,39,2021,2021Q4,2021-10,2,Energy,stage1
2021-09-30,InterContinental-Stephen F Austin,Travis,Capital Area WDA,2020-11-30,2021-03-05,Austin,0,1,0,,,35,INTERCONTINENTAL-STEPHEN F AUSTIN,1,169,166,2021,2021Q3,2021-09,0,Unknown,unresolved
2021-09-27,NPL,Dallas,Dallas County WDA,2021-10-16,2021-09-29,Garland,0,0,1,19,1,60,NPL,0,330,325,2021,2021Q3,2021-09,0,Unknown,unresolved
2021-09-27,NPL - Shiloh Rd.,Dallas,Dallas County WDA,2021-10-16,2021-09-29,Garland,0,0,1,19,1,6,NPL - SHILOH RD,0,330,325,2021,2021Q3,2021-09,0,Unknown,unresolved
2021-09-22,The Children's Shelter-Family Tapestry,Bexar,Alamo WDA,2021-11-20,2021-10-11,San Antonio,0,0,1,59,1,41,THE CHILDREN S SHELTER-FAMILY TAPESTRY,1,200,238,2021,2021Q3,2021-09,4,Public_Nonprofit,stage1
2021-09-09,CEVA Logistics - Raytheon Facility,Denton,North Central Texas WDA,2021-11-09,2021-09-27,Carrollton,0,0,1,61,0,87,CEVA LOGISTICS - RAYTHEON FACILITY,0,56,185,2021,2021Q3,2021-09,6,Logistics_Transportation,stage1
2021-09-09,Disney Streaming Technology LLC,Montgomery,Gulf Coast WDA,2021-11-10,2021-09-16,The Woodlands,0,0,1,62,0,63,DISNEY STREAMING TECHNOLOGY,0,42,608,2021,2021Q3,2021-09,4,Technology_IT,stage1
2021-09-09,The Woodlands Enterprises LLC,Montgomery,Gulf Coast WDA,2021-11-10,2021-09-15,The Woodlands,0,0,1,62,0,181,THE WOODLANDS ENTERPRISES,0,42,608,2021,2021Q3,2021-09,0,Unknown,unresolved
2021-08-30,Amentum,Bowie,North East Texas WDA,2021-10-29,2021-09-14,New Boston,0,0,1,60,0,92,AMENTUM,1,9,21,2021,2021Q3,2021-08,0,Unknown,unresolved
2021-08-30,Leidos-Killeen,Bell,Central Texas WDA,2021-09-29,2021-08-30,Killeen,0,0,1,30,1,60,LEIDOS,0,14,14,2021,2021Q3,2021-08,0,Unknown,unresolved
2021-08-17,Basic Energy Services-Denver City,Yoakum,South Plains WDA,2021-10-19,2021-08-20,Denver City,0,0,1,63,0,57,BASIC ENERGY SERVICES-DENVER CITY,1,2,29,2021,2021Q3,2021-08,8,Energy,stage1
2021-08-17,Basic Energy Services-Andrews2,Andrews,Permian Basin WDA,2021-10-19,2021-08-20,Andrews,0,0,1,63,0,63,BASIC ENERGY SERVICES-ANDREWS2,0,5,83,2021,2021Q3,2021-08,8,Energy,stage1
2021-08-17,Basic Energy Services-Big Springs2,Howard,Permian Basin WDA,2021-10-19,2021-08-20,Big Spring,0,0,1,63,0,135,BASIC ENERGY SERVICES-BIG SPRINGS2,0,4,83,2021,2021Q3,2021-08,8,Energy,stage1
2021-08-17,Basic Energy Services-Ft Worth-ALM Regent,Tarrant,Tarrant County WDA,2021-10-19,2021-08-20,Ft. Worth,0,0,1,63,0,120,BASIC ENERGY SERVICES-FT WORTH-ALM REGENT,0,207,213,2021,2021Q3,2021-08,8,Energy,stage1
2021-08-17,Basic Energy Services-Andrews,Andrews,Permian Basin WDA,2021-10-19,2021-08-20,Andrews,0,0,1,63,0,63,BASIC ENERGY SERVICES-ANDREWS,0,5,83,2021,2021Q3,2021-08,8,Energy,stage1
2021-08-17,Basic Energy Services-Kennedy,Karnes,Gulf Coast WDA,2021-10-19,2021-08-20,Kenedy,0,0,1,63,0,56,BASIC ENERGY SERVICES-KENNEDY,0,3,608,2021,2021Q3,2021-08,8,Energy,stage1
2021-08-09,Garland Behvaioral Hospital,Dallas,Dallas County WDA,2021-10-07,2021-08-10,Garland,0,0,1,59,1,119,GARLAND BEHVAIORAL HOSPITAL,0,330,325,2021,2021Q3,2021-08,6,Healthcare,stage1
2021-08-02,Interim Healthcare-San Antonio,Bexar,Alamo WDA,2021-10-01,2021-08-03,San Antonio,0,0,1,60,0,366,INTERIM HEALTHCARE,0,200,238,2021,2021Q3,2021-08,4,Healthcare,stage1
2021-07-27,Crothall Healthcare-DeTar Healthcare,Victoria,Golden Crescent WDA,2021-09-30,2021-08-03,Victoria,0,0,1,65,0,53,CROTHALL HEALTHCARE-DETAR HEALTHCARE,0,5,6,2021,2021Q3,2021-07,4,Healthcare,stage1
2021-07-27,Management & Training-Willacy County Regional Correction,Willacy,Lower Rio Grande Valley WDA,2021-09-30,2021-07-27,Raymondville,0,0,1,65,0,186,MANAGEMENT TRAINING-WILLACY COUNTY REGIONAL CORRECTION,0,3,38,2021,2021Q3,2021-07,8,Public_Nonprofit,stage1
2021-07-09,U.S. Well Services - Pleasanton,Atascosa,Alamo WDA,2021-09-07,2021-07-12,Pleasanton,0,0,1,60,0,66,U S WELL SERVICES - PLEASANTON,1,8,238,2021,2021Q3,2021-07,0,Unknown,unresolved
2021-07-07,Tranter Inc.,Wichita,North Texas WDA,2021-10-01,2021-07-08,Wichita Falls,0,0,1,86,0,78,TRANTER,0,3,10,2021,2021Q3,2021-07,0,Unknown,unresolved
2021-07-03,Fusion Logistics Inc. - Farmers Branch,Dallas,Dallas County WDA,2021-07-12,2021-07-08,Farmers Branch,0,0,1,9,1,57,FUSION LOGISTICS - FARMERS BRANCH,0,330,325,2021,2021Q3,2021-07,6,Logistics_Transportation,stage1
2021-07-03,Fusion Logistics Inc. - Garland,Dallas,Dallas County WDA,2021-07-12,2021-07-08,Garland,0,0,1,9,1,50,FUSION LOGISTICS,1,330,325,2021,2021Q3,2021-07,6,Logistics_Transportation,stage1
2021-07-03,Fusion Logistics  Inc. - Coppell,Dallas,Dallas County WDA,2021-07-12,2021-07-08,Coppell,0,0,1,9,1,62,FUSION LOGISTICS - COPPELL,0,330,325,2021,2021Q3,2021-07,6,Logistics_Transportation,stage1
2021-07-03,Fusion Logistics Inc. - Ft. Worth,Tarrant,Tarrant County WDA,2021-07-12,2021-07-08,Fort Worth,0,0,1,9,1,53,FUSION LOGISTICS - FT WORTH,0,207,213,2021,2021Q3,2021-07,6,Logistics_Transportation,stage1
2021-07-03,Fusion Logistics Inc. - Houston,Harris,Gulf Coast WDA,2021-07-12,2021-07-08,Houston,0,0,1,9,1,81,FUSION LOGISTICS,1,429,608,2021,2021Q3,2021-07,6,Logistics_Transportation,stage1
2021-07-01,"XPO Logistics Supply Chain, LLC",Bexar,Alamo WDA,2021-08-02,2021-07-23,San Antonio,0,0,1,32,1,29,XPO LOGISTICS SUPPLY CHAIN,0,200,238,2021,2021Q3,2021-07,8,Logistics_Transportation,stage1
2021-07-01,Turner Industries,Lamar,North East Texas WDA,2021-08-30,2021-07-01,Paris,0,0,1,60,0,250,TURNER INDUSTRIES,1,9,21,2021,2021Q3,2021-07,6,Construction_Real_Estate,stage1
2021-07-01,"Cubic ITS, Inc.",Fort Bend,Gulf Coast WDA,2022-02-01,2021-07-01,Sugar Land,0,0,1,215,0,80,CUBIC ITS,0,88,608,2021,2021Q3,2021-07,0,Unknown,unresolved
2021-06-16,TT Electronics (IRC),Nueces,Coastal Bend WDA,2021-08-16,2021-06-17,Corpus Christi,0,0,1,61,0,73,TT ELECTRONICS,0,20,26,2021,2021Q2,2021-06,2,Manufacturing,stage1
2021-06-07,Electronic Transaction Consultants,Dallas,Dallas County WDA,2021-07-30,2021-06-07,Richardson,0,0,1,53,1,34,ELECTRONIC TRANSACTION CONSULTANTS,1,330,325,2021,2021Q2,2021-06,0,Unknown,unresolved
2021-06-04,"Progenity, Inc.-Fuller Dr.",Dallas,Dallas County WDA,2021-08-06,2021-06-07,Irving,0,0,1,63,0,51,PROGENITY -FULLER DR,0,330,325,2021,2021Q2,2021-06,0,Unknown,unresolved
2021-06-01,"Progenity, Inc.-Riverside Dr.",Dallas,Dallas County WDA,2021-08-06,2021-06-07,Irving,0,0,1,66,0,9,PROGENITY -RIVERSIDE DR,0,330,325,2021,2021Q2,2021-06,0,Unknown,unresolved
2021-06-01,"Mattison Pathology, LLP dba Avero Diagnotics",Dallas,Dallas County WDA,2021-08-06,2021-06-07,Irving,0,0,1,66,0,5,MATTISON PATHOLOGY AVERO DIAGNOTICS,1,330,325,2021,2021Q2,2021-06,6,Healthcare,stage1
2021-06-01,Mattison Pathollogy dba Avero Diagnotics-Fuller Dr.,Dallas,Dallas County WDA,2021-08-06,2021-06-07,Irving,0,0,1,66,0,7,MATTISON PATHOLLOGY AVERO DIAGNOTICS-FULLER DR,0,330,325,2021,2021Q2,2021-06,0,Unknown,unresolved
2021-06-01,Katerra Inc.,Dallas,Dallas County WDA,2021-06-04,2021-06-01,Carrollton,0,0,1,3,1,82,KATERRA,0,330,325,2021,2021Q2,2021-06,0,Unknown,unresolved
2021-06-01,Texas Golden Peanut -ADM,El Paso,Borderplexjobs WDA,2021-07-31,2021-06-03,El Paso,0,0,1,60,0,86,TEXAS GOLDEN PEANUT -ADM,0,49,51,2021,2021Q2,2021-06,0,Unknown,unresolved
2021-05-25,Probe Group North America LLC,Denton,North Central Texas WDA,2021-07-31,2021-06-01,Lewisville,0,0,1,67,0,150,PROBE GROUP NORTH AMERICA,0,56,185,2021,2021Q2,2021-05,0,Unknown,unresolved
2021-05-24,U.S. Well Services,Tom Green,Concho Valley WDA,2021-07-20,2021-05-24,San Angelo,0,0,1,57,1,63,U S WELL SERVICES,0,9,16,2021,2021Q2,2021-05,0,Unknown,unresolved
2021-05-24,U.S. Well Services - Pleasanton,Atascosa,Alamo WDA,2021-07-23,2021-05-24,Pleasanton,0,0,1,60,0,108,U S WELL SERVICES - PLEASANTON,1,8,238,2021,2021Q2,2021-05,0,Unknown,unresolved
2021-05-20,"AIG Technologies, Inc.",Tarrant,Tarrant County WDA,2021-07-23,2021-05-20,Fort Worth,0,0,1,64,0,63,AIG TECHNOLOGIES,0,207,213,2021,2021Q2,2021-05,2,Technology_IT,stage1
2021-05-14,The Children's Shelter-Family Tapestry,Bexar,Alamo WDA,2021-07-13,2021-05-17,San Antonio,0,0,1,60,0,93,THE CHILDREN S SHELTER-FAMILY TAPESTRY,1,200,238,2021,2021Q2,2021-05,4,Public_Nonprofit,stage1
2021-05-12,Legend Energy Service-Longview,Gregg,East Texas WDA,2021-05-15,2021-05-20,Longview,0,0,1,3,1,118,LEGEND ENERGY SERVICE-LONGVIEW,0,13,39,2021,2021Q2,2021-05,2,Energy,stage1
2021-05-06,Aramark Educational Services - SFASU,Nacogdoches,Deep East Texas WDA,2021-06-30,2021-05-20,Nacogdoches,0,0,1,55,1,215,ARAMARK EDUCATIONAL SERVICES - SFASU,0,4,12,2021,2021Q2,2021-05,6,Staffing_Services,stage1
2021-05-03,Reliant Transportation,Denton,North Central Texas WDA,2021-05-29,2021-05-04,Justin,0,0,1,26,1,259,RELIANT TRANSPORTATION,1,56,185,2021,2021Q2,2021-05,4,Logistics_Transportation,stage1
2021-05-03,Reliant Transportation-West Lot,Tarrant,Tarrant County WDA,2021-05-29,2021-05-04,Haslet,0,0,1,26,1,98,RELIANT TRANSPORTATION,1,207,213,2021,2021Q2,2021-05,4,Logistics_Transportation,stage1
2021-04-29,EnerVest Ltd.,Harris,Gulf Coast WDA,2021-06-28,2021-04-30,Houston,0,0,1,60,0,111,ENERVEST,0,429,608,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-28,Concentrix CVG,Webb,South Texas WDA,2021-08-21,2021-04-28,Laredo,0,0,1,115,0,422,CONCENTRIX CVG,1,17,17,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,Art Asset-Dallas,Dallas,Dallas County WDA,2021-04-23,2021-05-12,Grand Prairie,0,1,0,,,7,ART ASSET,1,330,325,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,Art Asset-Austin 1,Travis,Capital Area WDA,2021-04-23,2021-05-12,Austin,0,1,0,,,5,ART ASSET,1,169,166,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,Art Asset-Houston,Harris,Gulf Coast WDA,2021-04-23,2021-05-12,Houston,0,1,0,,,12,ART ASSET,1,429,608,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,Art Asset-San Antonio North,Bexar,Alamo WDA,2021-04-23,2021-05-12,San Antonio,0,1,0,,,3,ART ASSET,1,200,238,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,Art Asset-San Antonio Central,Bexar,Alamo WDA,2021-04-23,2021-05-12,San Antonio,0,1,0,,,2,ART ASSET,1,200,238,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,Art Asset-Austin Corporate,Williamson,Rural Capital WDA,2021-04-23,2021-05-12,Austin,0,1,0,,,9,ART ASSET,1,35,67,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,Art Asset-El Paso,El Paso,Borderplexjobs WDA,2021-04-23,2021-05-12,El Paso,0,1,0,,,1,ART ASSET,1,49,51,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,Art Asset-Killeen,Bell,Central Texas WDA,2021-04-23,2021-05-12,Killeen,0,1,0,,,2,ART ASSET,1,14,14,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,Art Asset-Brownsville,Hidalgo,Lower Rio Grande Valley WDA,2021-04-23,2021-05-12,Weslaco,0,1,0,,,2,ART ASSET-BROWNSVILLE,0,35,38,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-26,"Conduit Global-kgb USA, Inc.",Bexar,Alamo WDA,2021-07-26,2021-04-29,San Antonio,0,0,1,91,0,245,CONDUIT GLOBAL-KGB USA,0,200,238,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-23,"Texas Capital Bank, NA - MCA",Dallas,Dallas County WDA,2021-05-07,2021-05-10,Richardson,0,0,1,14,1,95,TEXAS CAPITAL BANK NA - MCA,0,330,325,2021,2021Q2,2021-04,8,Finance,stage1
2021-04-20,Five Star Senior Living Inc.,Bexar,Alamo WDA,2021-04-30,2021-04-27,San Antonio,0,0,1,10,1,63,FIVE STAR SENIOR LIVING,0,200,238,2021,2021Q2,2021-04,2,Public_Nonprofit,stage1
2021-04-19,Sodexo-Texoma Medical Center,Grayson,Texoma WDA,2021-06-20,2021-04-29,Denison,0,0,1,62,0,105,SODEXO-TEXOMA MEDICAL CENTER,0,8,9,2021,2021Q2,2021-04,8,Healthcare,ambiguous_resolved
2021-04-16,Leidos-VA Austin IT Center,Travis,Capital Area WDA,2021-06-06,2021-04-13,Austin,0,0,1,51,1,140,LEIDOS-VA AUSTIN IT CENTER,0,169,166,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-15,Union Pacific Palestine Car Facility,Anderson,East Texas WDA,2021-06-14,2021-04-27,Palestine,0,0,1,60,0,57,UNION PACIFIC PALESTINE CAR FACILITY,0,3,39,2021,2021Q2,2021-04,0,Unknown,unresolved
2021-04-15,Frontier Communications Corp.-Citizens Telecom Services,Collin,North Central Texas WDA,2021-06-30,2021-04-15,Allen,0,0,1,76,0,33,FRONTIER COMMUNICATIONS -CITIZENS TELECOM SERVICES,0,92,185,2021,2021Q2,2021-04,2,Technology_IT,stage1
2021-04-15,Kindred Hospital - Mansfield,Tarrant,Tarrant County WDA,2021-06-14,2021-04-15,Mansfield,0,0,1,60,0,156,KINDRED HOSPITAL - MANSFIELD,0,207,213,2021,2021Q2,2021-04,6,Healthcare,stage1
2021-04-09,GDC Technics,Bexar,Alamo WDA,2021-04-09,2021-04-15,San Antonio,0,0,1,0,1,56,GDC TECHNICS,0,200,238,2021,2021Q2,2021-04,2,Technology_IT,stage1
2021-04-09,GDC Technics - Ft. Worth,Denton,North Central Texas WDA,2021-04-09,2021-04-15,Fort Worth,0,0,1,0,1,120,GDC TECHNICS - FT WORTH,0,56,185,2021,2021Q2,2021-04,2,Technology_IT,stage1
2021-03-31,"Fresenius Health Partners, I c.",Travis,Capital Area WDA,2021-05-31,2021-04-06,Austin,0,0,1,61,0,121,FRESENIUS HEALTH PARTNERS I C,0,169,166,2021,2021Q1,2021-03,2,Healthcare,stage1
2021-03-31,Furr's Fresh Buffet-McAllen,Hidalgo,Lower Rio Grande Valley WDA,2021-06-04,2021-03-31,McAllen,0,0,1,65,0,71,FURR S FRESH BUFFET-MCALLEN,0,35,38,2021,2021Q1,2021-03,2,Retail_Food,stage1
2021-03-25,Ovintive USA Inc.,Karnes,Alamo WDA,2021-07-31,2021-03-25,Karnes City,0,0,1,128,0,95,OVINTIVE USA,0,3,238,2021,2021Q1,2021-03,0,Unknown,unresolved
2021-03-23,"CSG Systems, Inc.",Travis,Capital Area WDA,2021-06-30,2021-03-29,Austin,0,0,1,99,0,57,CSG SYSTEMS,0,169,166,2021,2021Q1,2021-03,2,Technology_IT,stage1
2021-03-18,"Thyssenkrupp Supply Chain Services, Inc.",Harris,Gulf Coast WDA,2021-07-31,2021-03-18,Houston,0,0,1,135,0,30,THYSSENKRUPP SUPPLY CHAIN SERVICES,0,429,608,2021,2021Q1,2021-03,2,Logistics_Transportation,stage1
2021-03-18,Renaissance Dallas Addison Hotel,Dallas,Dallas County WDA,2020-03-16,2021-03-22,Addison,0,1,0,,,134,RENAISSANCE DALLAS ADDISON HOTEL,0,330,325,2021,2021Q1,2021-03,6,Retail_Food,stage1
2021-03-18,Dallas Marriott Las Colinas,Dallas,Dallas County WDA,2020-03-16,2021-03-22,Irving,0,1,0,,,59,DALLAS MARRIOTT LAS COLINAS,0,330,325,2021,2021Q1,2021-03,6,Retail_Food,stage1
2021-03-18,Renaisance Dallas Addison Hotel - Ft. Worth,Tarrant,Tarrant County WDA,2020-03-16,2021-03-22,Ft. Worth,0,1,0,,,53,RENAISANCE DALLAS ADDISON HOTEL - FT WORTH,0,207,213,2021,2021Q1,2021-03,6,Retail_Food,stage1
2021-03-12,Hilton-Austin,Travis,Capital Area WDA,2021-02-18,2021-03-26,Austin,0,1,0,,,64,HILTON,1,169,166,2021,2021Q1,2021-03,6,Retail_Food,stage1
2021-03-09,Walmart #5931,Dallas,Dallas County WDA,2021-03-30,2021-03-09,Dallas,0,0,1,21,1,217,WALMART 5931,0,330,325,2021,2021Q1,2021-03,6,Retail_Food,stage1
2021-03-05,"Wonderful Citrus Packing, LLC",Hidalgo,Lower Rio Grande Valley WDA,2021-03-04,2021-03-12,Mission,0,1,0,,,141,WONDERFUL CITRUS PACKING,0,35,38,2021,2021Q1,2021-03,0,Unknown,unresolved
2021-03-02,"Relyant Global, LLC",Hidalgo,Cameron County WDA,2021-05-07,2021-03-02,San Juan,0,0,1,66,0,70,RELYANT GLOBAL,0,35,38,2021,2021Q1,2021-03,0,Unknown,unresolved
2021-02-25,West Texas Medical Associates,Tom Green,Concho Valley WDA,2021-04-03,2021-03-05,San Angelo,0,0,1,37,1,114,WEST TEXAS MEDICAL ASSOCIATES,0,9,16,2021,2021Q1,2021-02,2,Healthcare,stage1
2021-02-21,American Airlines-DFW,Tarrant,Tarrant County WDA,2020-04-01,2021-03-08,DFW Airport,0,1,0,,,2475,AMERICAN AIRLINES,1,207,213,2021,2021Q1,2021-02,6,Logistics_Transportation,stage1
2021-02-15,Coca Cola North America,Dallas,Dallas County WDA,2021-04-15,2021-03-04,Grand Prairie,0,0,1,59,1,76,COCA COLA NORTH AMERICA,0,330,325,2021,2021Q1,2021-02,0,Unknown,unresolved
2021-02-10,Hilton Anatole,Dallas,Dallas County WDA,2021-04-10,2021-03-11,Dallas,0,0,1,59,1,206,HILTON ANATOLE,1,330,325,2021,2021Q1,2021-02,6,Retail_Food,stage1
2021-02-08,Seadrill Americas-West Neptune,Harris,Gulf Coast WDA,2021-03-01,2021-03-05,Houston,0,0,1,21,1,162,SEADRILL AMERICAS,1,429,608,2021,2021Q1,2021-02,6,Logistics_Transportation,ambiguous_resolved
2021-02-08,CBRE,Dallas,Dallas County WDA,2021-04-30,2021-02-11,Dallas,0,0,1,81,0,193,CBRE,0,330,325,2021,2021Q1,2021-02,2,Staffing_Services,stage1
2021-02-05,American Airlines-DFW Hangar,Tarrant,Tarrant County WDA,2021-04-01,2021-03-08,DFW Airport,0,0,1,55,1,50,AMERICAN AIRLINES,1,207,213,2021,2021Q1,2021-02,6,Logistics_Transportation,stage1
2021-02-05,American Airlines-DFW Admin Bldg,Tarrant,Tarrant County WDA,2020-04-01,2021-03-08,DFW Airport,0,1,0,,,16,AMERICAN AIRLINES,1,207,213,2021,2021Q1,2021-02,6,Logistics_Transportation,stage1
2021-02-05,American Airlines-HDQ,Tarrant,Tarrant County WDA,2020-04-01,2021-03-08,Ft. Worth,0,1,0,,,229,AMERICAN AIRLINES,1,207,213,2021,2021Q1,2021-02,6,Logistics_Transportation,stage1
2021-02-05,American Airlines-HDQ2,Tarrant,Tarrant County WDA,2021-04-01,2021-03-09,Ft. Worth,0,0,1,55,1,41,AMERICAN AIRLINES,1,207,213,2021,2021Q1,2021-02,6,Logistics_Transportation,stage1
2021-02-05,American Airlines - Ft Worth,Tarrant,Tarrant County WDA,2021-04-02,2021-03-08,Fort Worth,0,0,1,56,1,9,AMERICAN AIRLINES - FT WORTH,0,207,213,2021,2021Q1,2021-02,6,Logistics_Transportation,stage1
2021-02-05,American Airlines-Flight Training,Tarrant,Tarrant County WDA,2021-04-01,2021-03-08,Ft. Worth,0,0,1,55,1,103,AMERICAN AIRLINES-FLIGHT TRAINING,0,207,213,2021,2021Q1,2021-02,6,Logistics_Transportation,stage1
2021-02-05,American Airlines-Delta Hanger,Dallas,Dallas County WDA,2020-04-01,2021-03-08,DFW Airport,0,1,0,,,38,AMERICAN AIRLINES-DELTA HANGER,0,330,325,2021,2021Q1,2021-02,6,Logistics_Transportation,stage1
2021-02-05,American Airlines-SRO,Tarrant,Tarrant County WDA,2021-04-01,2021-03-08,Ft. Worth,0,0,1,55,1,2,AMERICAN AIRLINES-SRO,1,207,213,2021,2021Q1,2021-02,6,Logistics_Transportation,stage1
2021-02-01,Columbia Commercial Building Products,Rockwall,North Central Texas WDA,2021-04-02,2021-03-05,Rockwall,0,0,1,60,0,59,COLUMBIA COMMERCIAL BUILDING PRODUCTS,0,4,185,2021,2021Q1,2021-02,0,Unknown,unresolved
2021-01-28,"Trinity Rail Maintenance Services, Inc.",Orange,South East Texas WDA,2021-04-30,2021-01-28,Vidor,0,0,1,92,0,59,TRINITY RAIL MAINTENANCE SERVICES,0,8,27,2021,2021Q1,2021-01,2,Logistics_Transportation,ambiguous_resolved
2021-01-28,CACI-ISS,Bexar,Alamo WDA,2021-02-28,2021-02-02,San Antonio,0,0,1,31,1,73,CACI-ISS,0,200,238,2021,2021Q1,2021-01,2,Staffing_Services,stage1
2021-01-27,Baylor Scott & White Health-Elm St,Dallas,Dallas County WDA,2021-03-03,2021-03-05,Dallas,0,0,1,35,1,46,BAYLOR SCOTT WHITE HEALTH-ELM ST,0,330,325,2021,2021Q1,2021-01,2,Healthcare,stage1
2021-01-27,Baylor Scott & White Health-Main St,Dallas,Dallas County WDA,2021-03-03,2021-03-05,Dallas,0,0,1,35,1,25,BAYLOR SCOTT WHITE HEALTH-MAIN ST,0,330,325,2021,2021Q1,2021-01,2,Healthcare,stage1
2021-01-27,Baylor Scott & White Health-Round Rock,Williamson,Rural Capital WDA,2021-03-03,2021-03-05,Round Rock,0,0,1,35,1,83,BAYLOR SCOTT WHITE HEALTH-ROUND ROCK,0,35,67,2021,2021Q1,2021-01,2,Healthcare,stage1
2021-01-27,Baylor Scott & White Health-Austin,Travis,Capital Area WDA,2021-03-03,2021-03-05,Austin,0,0,1,35,1,62,BAYLOR SCOTT WHITE HEALTH,0,169,166,2021,2021Q1,2021-01,2,Healthcare,stage1
2021-01-25,Lucite International,Jefferson,South East Texas WDA,2021-05-01,2021-01-28,Nederland,0,0,1,96,0,99,LUCITE INTERNATIONAL,0,20,27,2021,2021Q1,2021-01,0,Unknown,unresolved
2021-01-21,Gibraltar US,Cameron,Cameron County WDA,2021-03-22,2021-01-22,San Benito,0,0,1,60,0,96,GIBRALTAR US,0,37,38,2021,2021Q1,2021-01,0,Unknown,unresolved
